DATE,YEAR,QUARTER,MONTH
07-02-2003,2003,1,2
11-02-2003,2003,1,2
26-02-2003,2003,1,2
09-03-2003,2003,1,3
17-03-2003,2003,1,3
16-04-2003,2003,2,4
21-04-2003,2003,2,4
20-05-2003,2003,2,5
21-05-2003,2003,2,5
24-05-2003,2003,2,5
25-05-2003,2003,2,5
28-05-2003,2003,2,5
05-06-2003,2003,2,6
13-06-2003,2003,2,6
16-06-2003,2003,2,6
05-07-2003,2003,3,7
10-07-2003,2003,3,7
03-08-2003,2003,3,8
15-08-2003,2003,3,8
25-08-2003,2003,3,8
26-08-2003,2003,3,8
27-08-2003,2003,3,8
01-09-2003,2003,3,9
18-09-2003,2003,3,9
26-10-2003,2003,4,10
03-11-2003,2003,4,11
24-11-2003,2003,4,11
28-11-2003,2003,4,11
19-12-2003,2003,4,12
02-01-2004,2004,1,1
05-01-2004,2004,1,1
15-01-2004,2004,1,1
24-01-2004,2004,1,1
27-01-2004,2004,1,1
04-02-2004,2004,1,2
08-02-2004,2004,1,2
09-02-2004,2004,1,2
10-02-2004,2004,1,2
15-02-2004,2004,1,2
16-02-2004,2004,1,2
18-02-2004,2004,1,2
10-03-2004,2004,1,3
02-04-2004,2004,2,4
03-04-2004,2004,2,4
13-04-2004,2004,2,4
22-04-2004,2004,2,4
20-06-2004,2004,2,6
10-07-2004,2004,3,7
23-07-2004,2004,3,7
18-08-2004,2004,3,8
25-08-2004,2004,3,8
26-08-2004,2004,3,8
04-09-2004,2004,3,9
11-09-2004,2004,3,9
06-10-2004,2004,4,10
21-10-2004,2004,4,10
23-10-2004,2004,4,10
18-11-2004,2004,4,11
08-12-2004,2004,4,12
18-12-2004,2004,4,12
21-12-2004,2004,4,12
04-01-2005,2005,1,1
06-01-2005,2005,1,1
09-01-2005,2005,1,1
14-01-2005,2005,1,1
21-01-2005,2005,1,1
22-01-2005,2005,1,1
27-01-2005,2005,1,1
08-02-2005,2005,1,2
09-02-2005,2005,1,2
